Accident_Index,Location_Easting_OSGR,Location_Northing_OSGR,Longitude,Latitude,Police_Force,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Date,Day_of_Week,Time,Local_Authority_(District),Local_Authority_(Highway),1st_Road_Class,1st_Road_Number,Road_Type,Speed_limit,Junction_Detail,Junction_Control,2nd_Road_Class,2nd_Road_Number,Pedestrian_Crossing-Human_Control,Pedestrian_Crossing-Physical_Facilities,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Special_Conditions_at_Site,Carriageway_Hazards,Urban_or_Rural_Area,Did_Police_Officer_Attend_Scene_of_Accident,LSOA_of_Accident_Location,Month,Calendar_Year
200597AB02602,258870,665460,-4.256575,55.861644,97,2,1,1,21/02/2005,2,03:40:00,926,S12000043,6,0,2,30,9,2,6,0,0,0,5,1,1,0,0,1,1,,2,2005
200597AB02604,258860,665450,-4.256729,55.861551,97,3,1,1,15/04/2005,6,16:00:00,926,S12000043,6,0,2,30,6,2,6,0,0,4,1,1,1,0,0,1,1,,4,2005
200597AB02703,259300,664990,-4.249466,55.85755,97,3,1,1,14/03/2005,2,15:16:00,926,S12000043,6,0,6,30,3,2,6,0,0,5,1,1,1,0,0,1,2,,3,2005
200597AB02805,259130,664840,-4.252102,55.856154,97,3,2,2,25/05/2005,4,11:45:00,926,S12000043,6,0,6,30,3,4,6,0,0,4,1,2,2,0,0,1,1,,5,2005
200597AB02902,258640,665420,-4.260226,55.861218,97,3,2,1,19/02/2005,7,01:15:00,926,S12000043,6,0,6,30,6,2,6,0,0,4,4,8,1,0,0,1,2,,2,2005
200597AB02903,259400,665950,-4.248368,55.866198,97,3,2,1,11/03/2005,6,16:05:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,2,,3,2005
200597AB02904,259130,664850,-4.252107,55.856244,97,3,1,1,15/04/2005,6,12:30:00,926,S12000043,6,0,2,30,9,4,6,0,0,0,1,1,1,0,0,1,1,,4,2005
200597AB02905,259140,665190,-4.252124,55.859299,97,3,1,1,20/05/2005,6,16:55:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,1,2,2,0,0,1,1,,5,2005
200597AB02906,258710,665320,-4.259056,55.86034,97,3,1,1,19/06/2005,1,00:45:00,926,S12000043,6,0,6,30,3,2,6,0,0,4,4,1,1,0,0,1,1,,6,2005
200597AB03004,259470,665220,-4.246872,55.859665,97,3,1,1,18/04/2005,2,11:45:00,926,S12000043,6,0,6,30,0,-1,-1,0,0,0,1,1,1,0,0,1,1,,4,2005
200597AB03009,259430,666060,-4.247946,55.867195,97,3,2,1,22/09/2005,5,13:00:00,926,S12000043,3,804,6,30,6,2,6,0,0,0,1,2,2,0,0,1,1,,9,2005
200597AB03101,258840,665810,-4.257236,55.864778,97,3,2,1,17/01/2005,2,17:40:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,0,4,2,2,0,0,1,2,,1,2005
200597AB03106,259700,666340,-4.24378,55.869787,97,3,2,1,18/06/2005,7,14:40:00,926,S12000043,3,8,3,60,5,4,6,0,0,0,1,1,1,0,0,1,2,,6,2005
200597AB03107,258930,664920,-4.255336,55.856814,97,3,1,1,20/07/2005,4,17:40:00,926,S12000043,6,0,2,30,0,-1,-1,0,0,4,1,1,1,0,0,1,1,,7,2005
200597AB03108,259630,664860,-4.244131,55.856479,97,3,1,1,16/08/2005,3,16:25:00,926,S12000043,6,0,6,30,6,4,3,8,0,4,1,1,1,0,0,1,1,,8,2005
